Linux 6.8.0-52-generic (SnowBrain) 	07.03.2025 	_x86_64_	(4 CPU)

14.39.18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14.43.12     all   22,88    0,00   12,08    1,03    0,00    0,00    0,00    0,00    0,00   64,01
14.43.13     all   27,13    0,00   12,14    1,03    0,00    0,26    0,00    0,00    0,00   59,43
14.43.14     all   45,41    0,00   10,97    1,02    0,00    0,51    0,00    0,00    0,00   42,09
14.43.15     all   40,05    0,00   13,27    1,02    0,00    0,51    0,00    0,00    0,00   45,15
14.43.16     all   21,74    0,00    6,91    1,28    0,00    0,26    0,00    0,00    0,00   69,82
14.43.17     all   39,64    0,00   20,21    0,26    0,00    0,00    0,00    0,00    0,00   39,90
14.43.18     all   27,32    0,00    9,79    1,03    0,00    0,26    0,00    0,00    0,00   61,60
14.43.19     all   28,83    0,00   13,78    1,02    0,00    0,26    0,00    0,00    0,00   56,12
14.43.20     all   81,36    0,00   17,63    0,00    0,00    0,25    0,00    0,00    0,00    0,76
14.43.21     all   84,50    0,00   12,75    0,00    0,00    0,25    0,00    0,00    0,00    2,50
14.43.22     all   37,97    0,00   18,99    0,00    0,00    0,51    0,00    0,00    0,00   42,53
14.43.23     all   40,57    0,00   11,11    0,78    0,00    0,26    0,00    0,00    0,00   47,29
14.43.24     all   30,59    0,00   13,88    0,00    0,00    0,26    0,00    0,00    0,00   55,27
14.43.25     all   39,43    0,00   14,43    0,00    0,00    0,77    0,00    0,00    0,00   45,36
14.43.26     all   49,74    0,00   18,62    0,77    0,00    0,51    0,00    0,00    0,00   30,36
14.43.27     all   44,62    0,00   15,90    0,26    0,00    0,51    0,00    0,00    0,00   38,72
14.43.28     all   37,06    0,00   19,29    0,76    0,00    0,76    0,00    0,00    0,00   42,13
14.43.29     all   42,86    0,00   21,68    0,00    0,00    0,26    0,00    0,00    0,00   35,20
14.43.30     all   65,14    0,00   10,69    0,00    0,00    0,00    0,00    0,00    0,00   24,17
14.43.31     all   64,84    0,00   21,45    0,00    0,00    0,50    0,00    0,00    0,00   13,22
14.43.32     all   62,22    0,00   20,15    0,76    0,00    0,25    0,00    0,00    0,00   16,62
14.43.33     all   65,25    0,00   23,25    0,50    0,00    0,25    0,00    0,00    0,00   10,75
14.43.34     all   76,69    0,00   16,79    0,00    0,00    0,00    0,00    0,00    0,00    6,52
14.43.35     all   71,57    0,00   19,95    0,25    0,00    0,25    0,00    0,00    0,00    7,98
14.43.36     all   72,25    0,00    9,75    0,25    0,00    0,00    0,00    0,00    0,00   17,75
14.43.37     all   78,20    0,00   11,28    0,00    0,00    0,25    0,00    0,00    0,00   10,28
14.43.38     all   58,94    0,00   16,12    0,25    0,00    0,50    0,00    0,00    0,00   24,18
14.43.39     all   44,87    0,00   10,00    1,28    0,00    0,00    0,00    0,00    0,00   43,85
14.43.40     all   60,35    0,00   10,22    0,50    0,00    0,25    0,00    0,00    0,00   28,68
14.43.41     all   73,42    0,00    6,84    0,25    0,00    0,25    0,00    0,00    0,00   19,24
14.43.42     all   45,43    0,00    9,14    1,02    0,00    0,25    0,00    0,00    0,00   44,16
14.43.43     all   43,19    0,00    6,43    1,03    0,00    0,26    0,00    0,00    0,00   49,10
14.43.44     all   50,76    0,00   10,41    0,76    0,00    0,25    0,00    0,00    0,00   37,82
14.43.45     all   50,39    0,00    7,46    0,51    0,00    0,26    0,00    0,00    0,00   41,39
14.43.46     all   55,27    0,00   10,54    0,00    0,00    0,00    0,00    0,00    0,00   34,19
14.43.47     all   50,90    0,00    8,23    0,26    0,00    0,26    0,00    0,00    0,00   40,36
14.43.48     all   51,91    0,00   12,21    0,51    0,00    0,00    0,00    0,00    0,00   35,37
14.43.49     all   51,15    0,00    8,70    0,26    0,00    0,51    0,00    0,00    0,00   39,39
14.43.50     all   47,21    0,00    8,63    1,02    0,00    0,25    0,00    0,00    0,00   42,89
14.43.51     all   46,56    0,00    7,89    0,76    0,00    0,00    0,00    0,00    0,00   44,78
14.43.52     all   44,30    0,00    5,32    0,76    0,00    0,51    0,00    0,00    0,00   49,11
14.43.53     all   46,55    0,00    9,21    0,00    0,00    0,00    0,00    0,00    0,00   44,25
14.43.54     all   65,06    0,00   10,13    0,00    0,00    0,25    0,00    0,00    0,00   24,56
14.43.55     all   72,93    0,00   23,31    0,25    0,00    0,25    0,00    0,00    0,00    3,26
14.43.56     all   79,30    0,00   19,95    0,00    0,00    0,25    0,00    0,00    0,00    0,50
14.43.57     all   68,83    0,00   20,95    0,00    0,00    0,00    0,00    0,00    0,00   10,22
14.43.58     all   45,98    0,00   26,88    0,50    0,00    0,50    0,00    0,00    0,00   26,13
14.43.59     all   19,74    0,00    9,61    0,78    0,00    0,00    0,00    0,00    0,00   69,87
